"# Observations","Air Mass","Altitude","Annotations","Apparent Mag","Avg. Rating","Avg. Rating (Numeric)","Azimuth","Best Eyepiece","Best Magnification","Best Time","Catalogue","Catalogue Notes","Chart #","Components","Constellation","Dark Time Duration","Dark Time End","Dark Time Start","Date of Opposition","Dec","Difficulty Index","Ecliptic Latitude","Ecliptic Longitude","Extinction","Found","Galactic Latitude","Galactic Longitude","Heliocentric JDate","Hour Angle","ID","Log Object Contrast","Lord's Rating","Magnitude","Magnitude2","Moon Distance","Name","Observability","ODM","Parallactic Angle","PCW Level","Period","Plan Seq #","Pos.Angle","Probability","Probability 2","RA","Rise Time","Separation","Set Time","Size","Spectral","Splitability","Splittable Aperture","Sun Distance","Surface Brightness","Transit Altitude","Transit Date","Transit Time","Type","User Notes","Visible"
"0","1.2737169","51.69","","8.398","","0","5.98","21mm (48X)","27.5","19h 15m 00s","NGC","","1","","Cep","8.966632","05h 10m 47s","20h 12m 47s","2020-10-10","85.33334","-999","65.27","78.99","0.2979211","No","22.46","122.77","0.0013099","-03h 30m 16s","C1","-1.7035819","","8.1","","75.06","NGC188","47.1245194","27x","-122.83","4","0","1","0","100","0","0.733333","-01h 00m 00s","","-01h 00m 00s","14","","No","0","103.11","22.4589547","53.67","2020-10-10 18:27:20","23h 46m 02s","Open","Cl, vL, R, 150-200 st 10...18","Limit"
"0","1.1629527","59.27","","11.271","","0","24.46","20mm (50X)","89.1376741","19h 15m 00s","NGC","","1","","Cep","8.966632","05h 10m 47s","20h 12m 47s","2020-10-02","72.53333","-999","60.28","52.81","0.2706212","No","9.88","120.02","0.0024547","-02h 59m 16s","C2","-0.1276283","","11","","65.82","NGC40","47.4344869","89x","-115.18","3","0","2","0","100","0","0.216667","-01h 00m 00s","","-01h 00m 00s","0","","No","0","115.15","18.5190708","66.47","2020-10-02 21:13:54","23h 15m 02s","P Neb","F, vS, R, vsmbM, *12 sp","Limit"
"0","1.8270035","33.1","","10.127","","0","342.55","21mm (48X)","27.5","19h 15m 00s","NGC","","2","","Dra","8.966632","05h 10m 47s","20h 12m 47s","2020-03-26","69.46667","-999","60.39","135.06","0.4272348","No","47.36","127.42","-0.0011262","08h 57m 02s","C3","-2.5903517","","9.7","","95.25","NGC4236","45.5175506","27x","34.12","2","0","3","162","100","0","12.278334","-01h 00m 00s","","-01h 00m 00s","18","","No","0","78.76","24.6758792","69.53","2020-04-04 16:56:11","11h 18m 44s","Galaxy","vF, eL, mE 160deg +/- , vgbM","Limit"
"0","1.0590243","70.76","","7.247","","0","356.26","21mm (48X)","27.5","19h 15m 00s","NGC","","2","","Cep","8.966632","05h 10m 47s","20h 12m 47s","2020-08-15","68.16666","-999","72.95","25.98","0.2472376","No","14.28","104","0.0016886","00h 13m 14s","C4","-1.4818708","","7","","78.87","NGC7023","47.7796515","28x","173.4","3","0","4","90","100","0","21.008333","-01h 00m 00s","","-01h 00m 00s","18","","No","0","107","21.904677","70.83","2020-08-15 22:12:42","20h 02m 32s","Open","*7 in eF, eL, neby","Limit"
"0","1.5019075","41.69","","9.45","","0","29.63","21mm (48X)","27.5","19h 15m 00s","","","1","","Cam","8.966632","05h 10m 47s","20h 12m 47s","2019-11-12","68.09611","-999","46.66","72.64","0.3498848","No","10.58","138.17","0.0025048","-06h 33m 04s","C5","-2.4618859","","9.1","","57.87","IC 342","46.3892009","27x","-60.39","2","0","5","0","100","0","3.78","-01h 00m 00s","","-01h 00m 00s","21x20","","No","0","115.7","24.3547147","70.9","2019-11-27 00:30:24","02h 48m 50s","S Gal","","Limit"
"0","1.1567056","59.8","","9.269","","0","323.62","21mm (48X)","27.5","19h 15m 00s","NGC","","2","","Dra","8.966632","05h 10m 47s","20h 12m 47s","2020-06-30","66.63333","-999","89.84","153.23","0.2687278","No","29.95","96.47","-0.0000106","03h 15m 08s","C6","-1.2981818","","9","","95.18","NGC6543","47.4946432","28x","101.17","1","0","6","0","100","0","17.976668","-01h 00m 00s","","-01h 00m 00s","5","","No","0","89.9","21.4454545","72.37","2020-06-30 15:53:39","17h 00m 38s","P Neb","PN , vB, pS, sbMvSN","Limit"
"0","2.2634916","26.11","","8.926","","0","10.87","21mm (48X)","27.5","19h 15m 00s","NGC","","1","","Cam","8.966632","05h 10m 47s","20h 12m 47s","2020-01-09","65.6","-999","43.29","103.47","0.5259949","No","29.19","150.57","0.0006112","-10h 23m 10s","C7","-2.0321658","","8.4","","72.47","NGC2403","44.2334115","27x","-17.43","2","0","7","127","100","0","7.615","-01h 00m 00s","","-01h 00m 00s","17","","No","0","96.07","23.2804145","73.4","2020-01-24 13:02:13","06h 38m 56s","Galaxy","!! cB, eL, vmE, vgmbMN","Limit"
"0","1.2435614","53.49","","9.791","","0","42.72","21mm (48X)","27.5","19h 15m 00s","NGC","","1","","Cas","8.966632","05h 10m 47s","20h 12m 47s","2019-10-23","63.3","-999","48.73","50.95","0.2914416","No","0.74","127.19","0.0033275","-04h 15m 46s","C8","-1.1754458","","9.5","","54.26","NGC559","47.1462099","28x","-82.12","4","0","8","0","100","0","1.491667","-01h 00m 00s","","-01h 00m 00s","4","","No","0","125.18","21.1386145","75.7","2019-10-23 02:25:39","00h 31m 32s","Open","Cl, B, pL, pRi","Limit"
"0","1.0613927","70.4","","7.948","","0","36.97","21mm (48X)","27.5","19h 15m 00s","","","2","","Cep","8.966632","05h 10m 47s","20h 12m 47s","2020-09-13","62.47583","-999","59.69","28.16","0.2476014","No","2.47","110.17","0.0028966","-01h 43m 33s","C9","-2.4274171","","7.7","","65.95","Sh2-155","47.7439964","27x","-121.38","2","0","9","0","100","0","22.954722","-01h 00m 00s","","-01h 00m 00s","50x30","","No","0","120.1","24.2685427","76.52","2020-09-14 15:03:25","21h 59m 19s","BrNeb","","Limit"
"0","1.2820252","51.22","","7.4","","0","45.43","21mm (48X)","27.5","19h 15m 00s","NGC","","1","","Cas","8.966632","05h 10m 47s","20h 12m 47s","2019-10-26","61.25","-999","45.98","51.73","0.2996093","No","-0.93","129.45","0.0034794","-04h 32m 16s","C10","-1.4195658","","7.1","","51.63","NGC663","47.0170248","28x","-76.32","3","0","10","0","100","0","1.766667","-01h 00m 00s","","-01h 00m 00s","16","","No","0","127.05","21.7489144","77.75","2019-10-27 07:08:37","00h 48m 02s","Open","Cl, B, L, eRi, st pL","Limit"
"0","1.0749449","68.46","","","","0","43.65","","0","19h 15m 00s","NGC","","2","","Cas","8.966632","05h 10m 47s","20h 12m 47s","2020-09-19","61.2","-999","56.79","29.91","0.2510843","No","0.23","112.22","0.0031313","-02h 06m 58s","C11","999","","","","62.91","NGC7635","47.6931396","n/a","-109.96","3","0","11","0","-1","0","23.344999","-01h 00m 00s","","-01h 00m 00s","15","","No","0","122.83","999","77.8","2020-09-20 13:59:32","22h 22m 44s","E Neb","vF, *8 inv l excentric","Limit"
"0","1.0241017","77.53","","9.14","","0","337.05","21mm (48X)","27.5","19h 15m 00s","NGC","","2","","Cep","8.966632","05h 10m 47s","20h 12m 47s","2020-08-08","60.15","-999","71.86","357.9","0.2404666","No","11.68","95.71","0.0016437","00h 38m 56s","C12","-1.8141112","","8.9","","82.41","NGC6946","47.8908325","27x","149.08","2","0","12","0","100","0","20.58","-01h 00m 00s","","-01h 00m 00s","11","","No","0","106.54","22.7352779","78.85","2020-08-09 09:20:19","19h 36m 50s","Galaxy","vF, vL, vg, vsbM, rr","Limit"
"0","1.2377335","53.86","","6.69","","0","51.35","21mm (48X)","27.5","19h 15m 00s","NGC","","1","","Cas","8.966632","05h 10m 47s","20h 12m 47s","2019-10-20","58.33333","-999","45.26","45.43","0.2901201","No","-4.34","126.57","0.0037254","-04h 05m 22s","C13","-0.9592125","","6.4","","50.42","NGC457","47.1447631","28x","-77.43","3","0","13","0","100","0","1.318333","-01h 00m 00s","","-01h 00m 00s","13","","No","0","130.17","20.5980313","80.67","2019-10-20 10:56:45","00h 21m 08s","Open","Cl, B, L, pRi, st 7, 8, 10","Limit"
