"NAME","R.A.","DEC.","MAG"
"Acamar/The1 Eri","02 58 15.7","-40 18 17","2.9"
"Achernar/Alp Eri","01 37 42.5","-57 14 12","0.6"
"Acrux/Alp1 Cru","12 26 35.9","-63 05 57","1.6"
"Acubens/Alp Cnc","08 58 29.2","+11 51 28","4.3"
"Al Nair/Alp Gru","22 08 13.6","-46 57 37","2.2"
"Albireo/Bet1 Cyg","19 30 43.2","+27 57 34","3.2"
"Aldebaran/Alp Tau","04 35 55.2","+16 30 37","1.1"
"Alderamin/Alp Cep","21 18 34.8","+62 35 08","2.4"
"Algenib/Gam Peg","00 13 14.1","+15 11 01","2.9"
"Algieba/Gam Leo","10 19 57.9","+19 50 32","2.6"
"Alkaid/Eta UMa","13 47 32.4","+49 18 48","1.9"
"Almach/Gam And","02 03 54.7","+42 19 52","2.1"
"Alphard/Alp Hya","09 27 35.3","-08 39 32","2.2"
"Alphecca/Alp CrB","15 34 41.3","+26 42 53","2.2"
"Alpheratz/Alp And","00 08 22.1","+29 05 29","2.1"
"Alrescha/Alp Psc","02 02 02.7","+02 45 49","4.3"
"Altair/Alp Aql","19 50 47.0","+08 52 06","0.8"
"Antares/Alp Sco","16 29 24.4","-26 25 55","1.2"
"Arcturus/Alp Boo","14 15 39.7","+19 10 57","0.0"
"Arneb/Alp Lep","05 32 43.8","-17 49 20","2.7"
"Atria/Alp TrA","16 48 39.8","-69 01 40","1.9"
"Becrux/Bet Cru","12 47 43.4","-59 41 19","1.5"
"Bellatrix/Gam Ori","05 25 07.8","+06 20 59","1.7"
"Betelgeuse/Alp Ori","05 55 10.3","+07 24 25","0.3"
"Canopus/Alp Car","06 23 57.1","-52 41 45","-0.9"
"Capella/Alp Aur","05 16 41.2","+46 00 02","0.2"
"Castor/Alp Gem","07 34 36.2","+31 53 19","1.6"
"Cor Caroli/Alp2 CVn","12 56 02.0","+38 19 05","2.9"
"Deneb/Alp Cyg","20 41 25.8","+45 16 49","1.3"
"Denebola/Bet Leo","11 49 04.2","+14 34 22","2.2"
"Diphda/Bet Cet","00 43 34.1","-17 59 12","2.2"
"Dubhe/Alp UMa","11 03 43.9","+61 45 05","1.9"
"Elnath/Bet Tau","05 26 17.5","+28 36 27","1.7"
"Enif/Eps Peg","21 44 11.2","+09 52 30","2.4"
"Etamin/Gam Dra","17 56 36.4","+51 29 20","2.2"
"Fomalhaut/Alp PsA","22 57 38.4","-29 37 17","1.3"
"Gacrux/Gam Cru","12 31 09.9","-57 06 42","1.6"
"Hamal/Alp Ari","02 07 10.1","+23 27 47","2.2"
"Kochab/Bet Umi","14 50 42.3","+74 09 20","2.1"
"Kornephoros/Bet Her","16 30 13.2","+21 29 23","2.8"
"Kraz/Bet Crv","12 34 23.2","-23 23 47","2.8"
"Markab/Alp Peg","23 04 45.4","+15 12 19","2.6"
"Menkar/Alp Cet","03 02 16.7","+04 05 24","2.8"
"Menkent/The Cen","14 06 41.0","-36 22 12","2.1"
"Merak/Bet UMa","11 01 50.3","+56 22 55","2.4"
"Miaplacidus/Bet Car","09 13 12.8","-69 43 04","1.8"
"Mirach/Bet And","01 09 43.6","+35 37 16","2.4"
"Mirfak/Alp Per","03 24 19.2","+49 51 41","1.9"
"Mizar/Zet UMa","13 23 55.5","+54 55 31","2.2"
"Naos/Zet Pup","08 03 35.1","-40 00 12","2.2"
"Nunki/Sig Sgr","18 55 15.8","-26 17 47","2.1"
"Phact/Alp Col","05 39 38.9","-34 04 27","2.7"
"Polaris/Alp UMi","02 31 45.6","+89 15 52","2.1"
"Pollux/Bet Gem","07 45 19.9","+28 01 35","1.2"
"Porrima/Gam Vir","12 41 40.3","-01 35 58","2.9"
"Procyon/Alp CMi","07 39 19.0","+05 13 50","0.5"
"Ras Algethi/Alp Her","17 14 38.8","+14 23 24","3.5"
"Rasalhague/Alp Oph","17 34 56.1","+12 33 36","2.1"
"Regor/Gam2 Vel","08 09 31.9","-47 20 12","1.9"
"Regulus/Alp Leo","10 08 22.7","+11 58 01","1.3"
"Rigel/Bet Ori","05 14 32.3","-08 12 06","0.3"
"Rigel Kentaurus/Alp Cen","14 39 45.1","-60 50 21","0.1"
"Sabik/Eta Oph","17 10 22.7","-15 43 29","2.4"
"Sadachbia/Gam Aqr","22 21 39.1","-01 23 15","4.0"
"Sadalmelik/Alp Aqr","22 05 46.9","-00 19 11","3.2"
"Scheat/Bet Peg","23 03 46.1","+28 04 56","2.6"
"Schedar/Alp Cas","00 40 30.3","+56 32 15","2.3"
"Shaula/Lam Sco","17 33 36.5","-37 06 13","1.7"
"Sirius/Alp CMa","06 45 09.6","-16 42 34","-1.6"
"Spica/Alp Vir","13 25 11.6","-11 09 41","1.2"
"Suhail/Lam Vel","09 07 59.8","-43 25 58","2.2"
"Thuban/Alp Dra","14 04 23.5","+64 22 33","3.6"
"Unukalhai/Alp Ser","15 44 15.8","+06 25 31","2.7"
"Vega/Alp Lyr","18 36 55.9","+38 46 55","0.1"
"Vindemiatrix/Eps Vir","13 02 10.9","+10 57 33","2.9"
"Yed Prior/Del Oph","16 14 20.7","-03 41 40","2.7"
"Zubenelgenubi/Alp Lib","14 50 52.7","-16 02 30","2.8"
"TT Ari/","02 06 53.1","+15 17 42","11"
"Z And/","23 33 39.9","+48 49 5.9","10.0"
"V709 Cas/","0 28 48.8","+59 17 22","14.4"
"V405 Aur/","5 57 59.3","+53 53 45","14"
"MU Cam/","6 25 16.3","+73 34 39","15"
"RXJ0636 /","6 36 32.5","+35 35 43","16"
"RXJ0704 /","7 4 8.7","+26 25 33","17"
"OTJ0711 /","7 11 25.9","+44 4 5","15"
"RXJ1525 /1RXS J152506.9-032647","15 25 06.87","-03 26 54.9","16.8"
"SDSS 08205/SDSS J082053.53+000843.4","08 20 53.54","+00 08 43.5","15.0"
"V2779 Oph/","18 08 35.81","+10 10 29.8","16.1"
"BG CMi/","7 31 29.1","+9 56 23","15"
"PQ Gem/","7 51 17.4","+14 44 24","14"
"DO Dra/","11 43 38.4","+71 41 20","15"
"V1084 Her/","16 43 45.7","+34 2 40","13"
"V795 Her/","17 12 56.2","+33 31 19","13"
"V603 Aql/","18 48 54.6","+0 35 2","12"
"RXJ1803 /","18 3 39.7","+40 12 20","17"
"RXJ1926 /","19 26 27","+13 22 5","18"
"RXJ2133 /","21 33 43.6","+51 7 24","16"
"FO Aqr/","22 17 55.4","-8 21 05","14"
"AO Psc/","22 55 15.0","-3 13 00","13.5"
"V1432 Aql/","19 40 11.4","-10 25 25","14"
"DV Psc/","0 13 9.0","+5 37 17","12.0"
"PTFEB11.4 /","0 45 46","+41 50 30","15.0"
"WD0107 /","0 45 46","+41 50 30","15.0"
"NSVS 650/","1 58 23.9","+25 21 19","6.2"
"NSVS 0612/NSVS 6127971","22 49 56.18","+38 43 47.5","12.7"
"BX Tri/","2 20 50.8","+33 20 47","6.2"
"V449 Per/","2 57 33.5","+35 14 0","6.2"
"GJ 3236/","3 37 14.1","+69 10 49","6.2"
"HAT-169 /","3 44 32.2","+39 59 34","6.2"
"NLTT11748 /","3 45 16.8","+17 48 9","6.2"
"V471 Tau/","3 50 24.9","+17 14 47","6.2"
"HAT-216 /","4 40 23","+31 26 46","15.2"
"AP Tau/","4 54 45","+26 55 23","6.2"
"HAT-131 /","5 16 36.9","+48 35 44","6.2"
"V608 Aur/","5 27 38","+39 55 33","14.0"
"V641 Aur/","6 03 47","+42 19 07","14.0"
"HAT-133 /","6 36 25.2","+43 49 47","6.2"
"V470 Cam/","7 10 42","+66 55 43","14.0"
"YY Gem/","7 34 37.6","+31 52 09","13.0"
"VSX J0753/","07 53 28","72 24 24","15.0"
"HAT-136 /","8 11 34.8","+43 2 33","6.2"
"SSSS J08205/","8 20 53.5","+0 8 43","6.2"
"GSC 1941/","8 25 51.9","+24 27 3","6.2"
"CU Cnc/","8 31 37.6","+19 23 39","6.2"
"NSVS 250/","8 44 11","+54 23 47","6.2"
"GSC 2499/","9 16 12.3","+36 15 34","6.2"
"HAT-225 /","9 21 28.4","+33 25 58","6.2"
"CSS 40809/","9 35 33","+22 51 55","14.0"
"ASAS 0938/","9 38 13.51","-01 04 24","14.0"
"SW Sex/","10 15 09.4","-3 08 33","14.0"
"BS UMa/","11 25 41","+42 34 49","6.2"
"HW Vir/","12 44 20.2","-8 40 17","6.2"
"DE CVn/","13 26 53.3","+45 32 46","6.2"
"NY Vir/","13 38 48.1","-2 1 49","6.2"
"NSVS 103/","13 45 34.9","+79 23 48","6.2"
"HAT-145 /","13 45 13.2","+46 18 39","6.2"
"LP133 UMa/","14 04 09","+50 20 35","15.0"
"SDSS 1435/","14 35 48","+37 33 39","15.0"
"GK Boo/","14 38 20.7","+36 32 25","6.2"
"GU Boo/","15 21 54.8","+33 56 8","6.2"
"NSV 00967819/","13 44 34.2","+69 18 06","12.6"
"NSV 07826147/","15 33 49","+37 59 28","14.0"
"G179-55 /","15 47 27.5","+45 7 51","6.2"
"NN Ser/","15 52 56.1","+12 54 44","6.2"
"V1024 Her/","16 10 05","+25 36 55","13.0"
"V1043 Her/","17 06 10","+49 55 23","17.0"
"HAT-192 /","16 12 07","+41 12 51","6.2"
"CM Dra/","16 34 20.4","+57 9 43","6.2"
"TrES-Her /TrES-Her0-07621","16 50 20.8","+46 39 1","14.0"
"V924 Oph/","18 33 28","+7 7 50","6.2"
"OT Lyr/","19 8 10","+29 13 41","6.2"
"T-Lyr-17236 /","19 07 16","+46 39 52","14.0"
"KIC 6464285/","19 50 41","+41 52 36","14.0"
"KIC 5300878/","19 52 20","+40 28 42","14.0"
"FP Sge/","20 14 45.8","+19 36 48","6.2"
"NSVS 14256825/","20 20 00.4","+04 37 56","14.0"
"FI Del/","20 29 16","+14 45 59","6.2"
"MR Del/","20 31 13.5","+5 13 8","6.2"
"HAT-196 /","17 58 59.3","+35 55 12","6.2"
"RX J2130/","21 30 18.5","+47 10 7","6.2"
"HS 2231/","22 34 21.5","+24 56 57","14.0"
"HAT-205 /","22 42 7.5","+39 2 43","6.2"
"V 483 And/kol003","00 20 35.3","+40 04 17","12"
"V523 Cas/","0 40 6.3","+50 14 16","10.6"
"CW Cas/","0 45 52.7","+63 5 8","11.0"
"GSC 0008-0/","0 13 22.6","+5 40 9","13.7"
"EP And/","1 42 29.3","+44 45 42","11.4"
"SS Ari/","2 4 14.5","+23 59 24","10.3"
"GZ And/","2 12 14.1","+44 39 34","10.8"
"V432 Per/","3 10 10.7","+42 52 9","11.0"
"AH Tau/","3 47 12","+25 6 59","11.2"
